Nf,Win,Bin,Din,Wout,Bout
0,0.01,0.1,0.0,"[0.08473078552162866, 0.04166700409124386, 0.09124378115297607, 0.06739560534476002, 0.09103962276532118, 0.0968189567492515, 0.06553299038759111, 0.08258556809310492, 0.03720949895873085, 0.03214329702942599]","[0.02416695645865051, 0.0027018023480318972, 0.048968653305815624, 0.014737143898333707, 0.02309176151162031, 0.051197791003312544, 0.01544773133231861, 0.011303942179976777, 0.05431488018053325, 0.04047228201667014]"
0,0.01,0.3,0.0,"[0.10262389235177719, 0.06347267447183613, 0.06863633803365314, 0.05227096329055303, 0.05727121178501883, 0.06796637229040578, 0.06780411837243171, 0.046956128673893156, 0.12489671603900689, 0.05959835544373112]","[0.07522845994260331, 0.0690338302442083, 0.061500372075076894, 0.044526148071841104, 0.06377186393365283, 0.03190611022651992, 0.04875775266528527, 0.0027069870688053005, 0.10987608924838044, 0.045584855455333514]"
0,0.01,0.5,0.0,"[0.055805031610269444, 0.0960882344856634, 0.07281061431295915, 0.09051606507593835, 0.05623471584252582, 0.06187647988524404, 0.07624616378757434, 0.044361040636482316, 0.06767647823035042, 0.07729473802863338]","[0.014464419474431464, 0.09688843790511067, 0.03369481713052831, 0.08114959519960555, 0.05611112554907884, 0.06565020221600268, 0.0829418211844555, 0.0552414780556834, 0.04258804300751523, 0.06583515106279922]"
0,0.01,0.7,0.0,"[0.1138570751003454, 0.10923633017815212, 0.07387981268429436, 0.0728969799101294, 0.09811203570635904, 0.07865441789867963, 0.07721924735894954, 0.066468809514528, 0.06377928420606319, 0.0740557388035176]","[0.07877034006164611, 0.11410777958033207, 0.0776898852207787, 0.09360400833855971, 0.08924650220737321, 0.09079659825642414, 0.06857220258020551, 0.05033909223201617, 0.030088554904176, 0.07954898905637398]"
0,0.01,0.9,0.0,"[0.043010099378047624, 0.07368278671158707, 0.05123161759979383, 0.08146070666621201, 0.09533667394885728, 0.11067362779381246, 0.02999380955766398, 0.03624994681479861, 0.07987706693105764, 0.0814095104323863]","[0.07796393636179771, 0.08293519269477008, 0.061947240323806274, 0.11265352182623227, 0.055936892635283675, 0.10304529710300492, 0.023069428810561156, 0.06616374109640824, 0.05808819536974461, 0.07169681411790665]"
0,0.05,0.1,0.0,"[0.2034125716104182, 0.1969094474552185, 0.19822669880476382, 0.240608402483528, 0.22040000940130106, 0.21605570688346026, 0.15405403544284146, 0.17775599706237305, 0.22768805148757384, 0.2981733391486435]","[0.10452133150084364, 0.14190745353524425, 0.09265744132416695, 0.14474197234740457, 0.0647356160189421, 0.051266748816063176, 0.03855459432517553, 0.04667301253739408, 0.10172786136848917, 0.12292778465212124]"
0,0.05,0.3,0.0,"[0.2090177683881221, 0.2192182464695101, 0.19414389112855635, 0.2487498745879323, 0.26837503744027524, 0.20432933636173942, 0.22842971013243016, 0.19347524516445258, 0.2301258415893057, 0.2823706180506249]","[0.1440997494502519, 0.11824577579807656, 0.13029018048841662, 0.17692188363625802, 0.17878491378979203, 0.1311942527362357, 0.13106462631184512, 0.12719323889801926, 0.14835715241505185, 0.21207425967954457]"
0,0.05,0.5,0.0,"[0.25158581171883004, 0.3223347646864958, 0.21757112556209202, 0.24449855174027665, 0.22843204542891127, 0.2434484685202201, 0.27223356790405256, 0.23933140990509522, 0.25788355860692463, 0.2890811358808608]","[0.1787258104020824, 0.23259411286647375, 0.16636558117313296, 0.1961095974763726, 0.11289178854978835, 0.18483857345501717, 0.18421930728772318, 0.1281007956417206, 0.17669134280697923, 0.1716571884480545]"
0,0.05,0.7,0.0,"[0.23319136545828753, 0.27256175864996146, 0.21496618346071827, 0.2560927611751691, 0.24558758492227473, 0.3122694153495826, 0.24435701909426988, 0.24099933976922946, 0.24963443680755104, 0.26109056945325354]","[0.18357905089914936, 0.2047284146226081, 0.17911635396395914, 0.1989018163962965, 0.231155905755588, 0.2531842178386794, 0.16509150860919802, 0.21079572767160792, 0.16085243552465714, 0.2265449101184759]"
0,0.05,0.9,0.0,"[0.22441379515069443, 0.29730973250520476, 0.23756361585175909, 0.3036225307219229, 0.3030146499762886, 0.23083074866987158, 0.18745656161867125, 0.2205321804339005, 0.28557333708435606, 0.2104110780528364]","[0.19033954544970008, 0.2830235979002537, 0.22713625864911272, 0.30915862313908316, 0.285089984329026, 0.21333723697827706, 0.18660538907187757, 0.21339212458088125, 0.2644592628283997, 0.2238634196215131]"
